book_name,book_Price,book_reviews,book_rating,book_date,book_discount,book_author
"Deciphering Object-Oriented Programming with C++: A practical, in-depth guide to implementing object-oriented design principles to create robust code","2,703",,,23-Sep-22,(20% off),by Dorothy R. Kirk | 23 September 2022
"Software Architecture with Python: Design and architect highly scalable, robust, clean, and high performance applications in Python","1,100",12,4.1 out of 5 stars,28-Apr-17,(50% off),by Anand Balachandran Pillai | 28 April 2017
"C++ High Performance: Master the art of optimizing the functioning of your C++ code, 2nd Edition","3,418",94,4.6 out of 5 stars,30-Dec-20,(20% off),"by Björn Andrist, Viktor Sehr, et al. | 30 December 2020"
Cryptography and Network Security - Principles and Practice | Seventh Edition | By Pearson,706,416,4.4 out of 5 stars,30-Jun-17,"Buy 2 get 5% off, Buy 3 + & get 10% off
Buy 2 get 5% off, Buy 3 + & get 10% off",by Stallings William | 30 June 2017
"Mastering Ubuntu Server - Fourth Edition: Explore the versatile, powerful Linux Server distribution Ubuntu 22.04 with this comprehensive guide","2,941",,,04-Aug-22,(20% off),by Jay LaCroix | 4 August 2022
Learn Quantum Computing with Python and IBM Quantum Experience: A hands-on introduction to quantum computing and writing your own quantum programs with Python,"2,464",87,4.4 out of 5 stars,28-Sep-20,(20% off),by Robert Loredo | 28 September 2020
Artificial Intelligence | Third Edition | By Pearson: A Modern Approach,704,"1,572",4.4 out of 5 stars,01-Jan-15,(26% off),by Russell | 1 January 2015
"Selenium WebDriver 3 Practical Guide: End-to-end automation testing for web and mobile browsers with Selenium WebDriver, 2nd Edition","2,464",19,4.4 out of 5 stars,31-Jul-18,(20% off),by Unmesh Gundecha and Satya Avasarala | 31 July 2018
Demystifying Ansible Automation Controller: The definitive way to manage Ansible Automation Controller and Ansible Tower,"2,386",,,21-Oct-22,(20% off),by Sean Sullivan | 21 October 2022
"Digital Design | With an Introduction to the Verilog HDL, VHDL, and SystemVerilog | Sixth Edition | By Pearson",615,598,4.6 out of 5 stars,18-May-18,(18% off),by M. Morris Mano and Michael D. Ciletti | 18 May 2018
Ansible for Real Life Automation: A complete Ansible handbook filled with real life IT automation use cases,"2,943",,,30-Sep-22,(20% off),by Gineesh Madapparambath | 30 September 2022
Microsoft SharePoint 2010 Developer’s Compendium: The Best of Packt for Extending SharePoint,"3,100",,,22-Feb-12,(20% off),"by Yaroslav Pentsarskyy, Balaji Kithiganahalli , et al. | 22 February 2012"
Mastering SaltStack -: Use Salt to the fullest,"3,102",11,4.2 out of 5 stars,06-Dec-16,(20% off),by Joseph Hall | 6 December 2016
